City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,dunhua,43.3725,128.2425,34.32,47,0,8.55,CN,1697407325
173,callao,-12.0667,-77.15,73.72,73,100,12.66,PE,1697407325
174,island harbour,50.724,-1.2758,45.99,73,100,1.99,GB,1697407326
175,sinabang,2.4803,96.3801,77.59,87,99,7.34,ID,1697407326
176,chonchi,-42.6128,-73.8092,52.12,82,82,2.64,CL,1697407096
177,sao joao da barra,-21.6403,-41.0511,75.29,93,100,3.83,BR,1697407250
178,thompson,55.7435,-97.8558,57.36,54,20,2.3,CA,1697407327
179,alice springs,-23.7,133.8833,67.55,24,0,4.61,AU,1697407328
180,san patricio,28.017,-97.5169,80.69,25,0,15.93,US,1697407328
181,horta,38.5333,-28.6333,71.02,92,100,23.0,PT,1697407328
182,constantia,44.1833,28.65,59.7,73,10,11.5,RO,1697407152
183,itacarambi,-15.1022,-44.0919,86.34,23,55,3.69,BR,1697407329
184,port mathurin,-19.6833,63.4167,74.07,84,19,11.48,MU,1697407263
185,haiku-pauwela,20.9219,-156.3051,85.17,68,95,8.99,US,1697407329
186,mao,39.8885,4.2658,68.56,88,40,9.22,ES,1697407329
187,lazaro cardenas,17.9583,-102.2,81.12,85,97,3.87,MX,1697407330
188,humberto de campos,-2.5983,-43.4611,78.62,82,65,7.99,BR,1697407330
189,inhambane,-23.865,35.3833,69.85,79,100,7.94,MZ,1697407330
190,badger,64.8,-147.5333,41.13,90,40,4.61,US,1697407330
191,karachev,53.1229,34.9852,46.98,92,100,5.08,RU,1697407331
192,la passe,45.5549,-0.8967,54.01,49,100,16.08,FR,1697407331
193,calvinia,-31.4707,19.776,59.97,35,0,4.0,ZA,1697407331
194,papatowai,-46.5619,169.4708,49.46,60,77,8.66,NZ,1697407331
195,cartagena,10.3997,-75.5144,87.42,74,20,9.22,CO,1697407331
196,beoumi,7.6736,-5.5764,74.41,95,100,3.74,CI,1697407332
197,srivardhan,18.0333,73.0167,78.46,81,21,3.15,IN,1697407332
198,qinzhou,21.95,108.6167,70.84,79,54,5.55,CN,1697407332
199,soavinandriana,-19.1667,46.7333,61.77,90,6,2.35,MG,1697407332
200,villa elisa,-25.3667,-57.6167,96.04,39,40,5.75,PY,1697407333
201,verdal,63.7933,11.4817,41.04,69,79,14.76,NO,1697407333
202,kailua-kona,19.6406,-155.9956,83.28,74,40,10.36,US,1697407162
203,georgetown,5.4112,100.3354,80.53,89,20,2.3,MY,1697407278
204,east london,-33.0153,27.9116,64.81,85,100,21.23,ZA,1697407060
205,vilyuchinsk,52.9306,158.4028,46.67,97,100,5.17,RU,1697407334
206,luganville,-15.5333,167.1667,80.44,82,81,11.07,VU,1697407334
207,new norfolk,-42.7826,147.0587,50.92,70,65,6.98,AU,1697407335
208,boulsa,12.6675,-0.5758,88.66,32,57,9.28,BF,1697407335
209,ar rutbah,33.0381,40.2848,67.28,54,0,15.93,IQ,1697407335
210,shache,38.4167,77.2406,55.71,30,100,5.75,CN,1697407335
211,petropavlovsk-kamchatsky,53.0452,158.6483,45.19,88,75,5.01,RU,1697407336
212,porto novo,6.4965,2.6036,82.22,85,100,5.12,BJ,1697407152
213,vila velha,-20.3297,-40.2925,73.35,99,100,5.75,BR,1697407102
214,talnakh,69.4865,88.3972,16.21,93,24,1.63,RU,1697407336
215,plouzane,48.3833,-4.6167,50.18,71,0,11.5,FR,1697407337
216,hawaiian paradise park,19.5933,-154.9731,83.88,77,69,1.99,US,1697407337
217,kapuskasing,49.4169,-82.4331,42.8,87,100,16.11,CA,1697407121
218,anloga,5.7947,0.8973,80.47,85,74,10.89,GH,1697407337
219,wotho,10.1657,166.0102,83.43,76,21,14.45,MH,1697407337
220,mende,44.6667,3.5,36.27,67,100,7.18,FR,1697407338
221,ashland,40.8167,-82.2665,51.87,84,86,13.71,US,1697407228
222,villa gesell,-37.2639,-56.973,55.49,76,1,18.12,AR,1697407338
223,anadyr,64.75,177.4833,32.5,93,40,2.24,RU,1697407338
224,vorgashor,67.5833,63.95,30.31,97,100,13.04,RU,1697407338
225,utrik,11.2278,169.8474,82.58,75,11,11.92,MH,1697407339
226,redencao,-4.2258,-38.7306,77.23,78,50,5.66,BR,1697407339
227,hasaki,35.7333,140.8333,54.0,64,0,2.91,JP,1697407339
228,mahalapye,-23.1041,26.8142,65.37,78,100,19.33,BW,1697407339
229,saipan,15.1355,145.701,81.64,77,96,7.83,MP,1697407340
230,hithadhoo,-0.6,73.0833,81.64,76,23,17.0,MV,1697407340
231,ribeira grande,38.5167,-28.7,71.78,92,100,23.0,PT,1697407341
232,alvaraes,-3.2208,-64.8042,91.27,49,43,2.3,BR,1697407341
233,aasiaat,68.7098,-52.8699,21.78,73,100,3.47,GL,1697407341
234,kavieng,-2.5744,150.7967,82.89,73,99,6.44,PG,1697407342
235,obihiro,42.9172,143.2044,52.83,93,74,1.05,JP,1697407342
236,tazovsky,67.4667,78.7,33.89,98,100,2.8,RU,1697407342
237,qaqortoq,60.7167,-46.0333,37.65,87,86,2.64,GL,1697407342
238,arkhangel'sk,64.5401,40.5433,45.12,93,81,9.75,RU,1697407342
239,lucapa,-8.4192,20.7447,67.82,80,79,1.21,AO,1697407343
